"fixed","align-left","align-left href","align-left 2","align-left href 2","align-right","align-right 2","align-right 3","align-right 5"
"1040","Danny Mendick","https://www.fangraphs.com/players/danny-mendick/18889/stats","NYM","https://www.fangraphs.com/teams/mets","7","-0.2","","-0.2"
"1041","Tommy La Stella","https://www.fangraphs.com/players/tommy-la-stella/12371/stats","SEA","https://www.fangraphs.com/teams/mariners","24","-0.2","","-0.2"
"1042","Braden Shewmake","https://www.fangraphs.com/players/braden-shewmake/25817/stats","ATL","https://www.fangraphs.com/teams/braves","4","-0.2","","-0.2"
"1043","Luke Williams","https://www.fangraphs.com/players/luke-williams/19931/stats","LAD","https://www.fangraphs.com/teams/dodgers","10","1.0","-0.2","-0.2"
"1044","Greg Weissert","https://www.fangraphs.com/players/greg-weissert/20375/stats","NYY","https://www.fangraphs.com/teams/yankees","6.2","0.0","-0.2","-0.2"
"1045","Peyton Burdick","https://www.fangraphs.com/players/peyton-burdick/25459/stats","MIA","https://www.fangraphs.com/teams/marlins","37","-0.2","","-0.2"
"1046","Roberto Pérez","https://www.fangraphs.com/players/roberto-perez/2900/stats","SFG","https://www.fangraphs.com/teams/giants","17","-0.2","","-0.2"
"1047","Ryan Tepera","https://www.fangraphs.com/players/ryan-tepera/10291/stats","LAA","https://www.fangraphs.com/teams/angels","8.2","0.0","-0.2","-0.2"
"1048","Lucas Luetge","https://www.fangraphs.com/players/lucas-luetge/8337/stats","ATL","https://www.fangraphs.com/teams/braves","9.2","0.0","-0.2","-0.2"
"1049","Eli White","https://www.fangraphs.com/players/eli-white/19346/stats","ATL","https://www.fangraphs.com/teams/braves","17","-0.2","","-0.2"
"1050","Antonio Senzatela","https://www.fangraphs.com/players/antonio-senzatela/15488/stats","COL","https://www.fangraphs.com/teams/rockies","7.2","0.0","-0.2","-0.2"
"1051","Drew VerHagen","https://www.fangraphs.com/players/drew-verhagen/13424/stats","STL","https://www.fangraphs.com/teams/cardinals","37.2","0.0","-0.2","-0.2"
"1052","Karl Kauffmann","https://www.fangraphs.com/players/karl-kauffmann/27488/stats","COL","https://www.fangraphs.com/teams/rockies","17.2","0.0","-0.2","-0.2"
"1053","Brad Miller","https://www.fangraphs.com/players/brad-miller/12775/stats","TEX","https://www.fangraphs.com/teams/rangers","56","-0.2","","-0.2"
"1054","Chadwick Tromp","https://www.fangraphs.com/players/chadwick-tromp/16953/stats","ATL","https://www.fangraphs.com/teams/braves","16","-0.2","","-0.2"
"1055","Cole Sulser","https://www.fangraphs.com/players/cole-sulser/15256/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","4.1","0.0","-0.2","-0.2"
"1056","Alex Colomé","https://www.fangraphs.com/players/alex-colome/6661/stats","CHW","https://www.fangraphs.com/teams/white-sox","3.0","0.0","-0.2","-0.2"
"1057","Duane Underwood Jr.","https://www.fangraphs.com/players/duane-underwood-jr/14677/stats","PIT","https://www.fangraphs.com/teams/pirates","24.1","0.0","-0.2","-0.2"
"1058","Brad Keller","https://www.fangraphs.com/players/brad-keller/15734/stats","KCR","https://www.fangraphs.com/teams/royals","43.1","0.0","-0.2","-0.2"
"1059","Bryan Shaw","https://www.fangraphs.com/players/bryan-shaw/8110/stats","CHW","https://www.fangraphs.com/teams/white-sox","3.2","0.0","-0.2","-0.2"
"1060","Juan Then","https://www.fangraphs.com/players/juan-then/22828/stats","SEA","https://www.fangraphs.com/teams/mariners","11.0","0.0","-0.2","-0.2"
"1061","Richard Bleier","https://www.fangraphs.com/players/richard-bleier/7803/stats","BOS","https://www.fangraphs.com/teams/red-sox","20.0","0.0","-0.2","-0.2"
"1062","Matt Dermody","https://www.fangraphs.com/players/matt-dermody/14844/stats","BOS","https://www.fangraphs.com/teams/red-sox","4.0","0.0","-0.2","-0.2"
"1063","Trevor Kelley","https://www.fangraphs.com/players/trevor-kelley/18454/stats","TBR","https://www.fangraphs.com/teams/rays","13.1","0.0","-0.2","-0.2"
"1064","Dominic Leone","https://www.fangraphs.com/players/dominic-leone/13763/stats","NYM","https://www.fangraphs.com/teams/mets","24.2","0.0","-0.2","-0.2"
"1065","Connor Seabold","https://www.fangraphs.com/players/connor-seabold/19695/stats","COL","https://www.fangraphs.com/teams/rockies","70.1","0.0","-0.2","-0.2"
"1066","Enmanuel Valdez","https://www.fangraphs.com/players/enmanuel-valdez/21716/stats","BOS","https://www.fangraphs.com/teams/red-sox","101","-0.2","","-0.2"
"1067","Chase Silseth","https://www.fangraphs.com/players/chase-silseth/30074/stats","LAA","https://www.fangraphs.com/teams/angels","18.2","0.0","-0.2","-0.2"
"1068","Adam Wainwright","https://www.fangraphs.com/players/adam-wainwright/2233/stats","STL","https://www.fangraphs.com/teams/cardinals","51.2","0.0","-0.2","-0.2"
"1069","Nelson Cruz","https://www.fangraphs.com/players/nelson-cruz/2434/stats","SDP","https://www.fangraphs.com/teams/padres","152","-0.2","","-0.2"
"1070","Josh Lester","https://www.fangraphs.com/players/josh-lester/17737/stats","BAL","https://www.fangraphs.com/teams/orioles","23","1.0","-0.2","-0.2"
"1071","Heliot Ramos","https://www.fangraphs.com/players/heliot-ramos/22515/stats","SFG","https://www.fangraphs.com/teams/giants","27","-0.2","","-0.2"
"1072","Hayden Wesneski","https://www.fangraphs.com/players/hayden-wesneski/27581/stats","CHC","https://www.fangraphs.com/teams/cubs","60.2","0.0","-0.2","-0.2"
"1073","Louie Varland","https://www.fangraphs.com/players/louie-varland/27691/stats","MIN","https://www.fangraphs.com/teams/twins","56.0","0.0","-0.2","-0.2"
"1074","Luis Medina","https://www.fangraphs.com/players/luis-medina/21649/stats","OAK","https://www.fangraphs.com/teams/athletics","59.2","0.0","-0.2","-0.2"
"1075","Daniel Duarte","https://www.fangraphs.com/players/daniel-duarte/17480/stats","CIN","https://www.fangraphs.com/teams/reds","10.2","0.0","-0.2","-0.2"
"1076","Triston Casas","https://www.fangraphs.com/players/triston-casas/22514/stats","BOS","https://www.fangraphs.com/teams/red-sox","291","-0.2","","-0.2"
"1077","Zack Weiss","https://www.fangraphs.com/players/zack-weiss/15444/stats","LAA","https://www.fangraphs.com/teams/angels","2.2","0.0","-0.2","-0.2"
"1078","Amos Willingham","https://www.fangraphs.com/players/amos-willingham/26128/stats","WSN","https://www.fangraphs.com/teams/nationals","5.1","0.0","-0.2","-0.2"
"1079","Justin Garza","https://www.fangraphs.com/players/justin-garza/19784/stats","BOS","https://www.fangraphs.com/teams/red-sox","17.2","0.0","-0.2","-0.2"
"1080","Michael Toglia","https://www.fangraphs.com/players/michael-toglia/25845/stats","COL","https://www.fangraphs.com/teams/rockies","25","-0.2","","-0.2"
"1081","Cody Bolton","https://www.fangraphs.com/players/cody-bolton/23265/stats","PIT","https://www.fangraphs.com/teams/pirates","9.0","0.0","-0.2","-0.2"
"1082","Casey Legumina","https://www.fangraphs.com/players/casey-legumina/25921/stats","CIN","https://www.fangraphs.com/teams/reds","11.2","0.0","-0.2","-0.2"
"1083","David Dahl","https://www.fangraphs.com/players/david-dahl/13744/stats","SDP","https://www.fangraphs.com/teams/padres","9","-0.2","","-0.2"
"1084","Peter Solomon","https://www.fangraphs.com/players/peter-solomon/20476/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","13.1","0.0","-0.2","-0.2"
"1085","César Salazar","https://www.fangraphs.com/players/cesar-salazar/21587/stats","HOU","https://www.fangraphs.com/teams/astros","19","-0.2","","-0.2"
"1086","Kyle Leahy","https://www.fangraphs.com/players/kyle-leahy/24763/stats","STL","https://www.fangraphs.com/teams/cardinals","0.2","0.0","-0.2","-0.2"
"1087","AJ Smith-Shawver","https://www.fangraphs.com/players/aj-smith-shawver/29960/stats","ATL","https://www.fangraphs.com/teams/braves","16.2","0.0","-0.2","-0.2"
"1088","Ray Kerr","https://www.fangraphs.com/players/ray-kerr/23809/stats","SDP","https://www.fangraphs.com/teams/padres","8.0","0.0","-0.2","-0.2"
"1089","Omar Narváez","https://www.fangraphs.com/players/omar-narvaez/13338/stats","NYM","https://www.fangraphs.com/teams/mets","45","-0.2","","-0.2"
"1090","Spencer Patton","https://www.fangraphs.com/players/spencer-patton/12361/stats","OAK","https://www.fangraphs.com/teams/athletics","5.1","0.0","-0.2","-0.2"
"1091","Isan Díaz","https://www.fangraphs.com/players/isan-diaz/17922/stats","SFG","https://www.fangraphs.com/teams/giants","8","-0.2","","-0.2"
"1092","Jason Vosler","https://www.fangraphs.com/players/jason-vosler/16686/stats","CIN","https://www.fangraphs.com/teams/reds","65","2.0","-0.3","-0.2"
"1093","Diego Castillo","https://www.fangraphs.com/players/diego-castillo/17496/stats","SEA","https://www.fangraphs.com/teams/mariners","8.2","0.0","-0.2","-0.2"
"1094","Curt Casali","https://www.fangraphs.com/players/curt-casali/12510/stats","CIN","https://www.fangraphs.com/teams/reds","93","-0.2","","-0.2"
"1095","Kyle Lewis","https://www.fangraphs.com/players/kyle-lewis/19508/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","35","-0.2","","-0.2"
"1096","Kaleb Ort","https://www.fangraphs.com/players/kaleb-ort/20061/stats","BOS","https://www.fangraphs.com/teams/red-sox","23.0","0.0","-0.2","-0.2"
"1097","Samad Taylor","https://www.fangraphs.com/players/samad-taylor/22274/stats","KCR","https://www.fangraphs.com/teams/royals","38","-0.2","","-0.2"
"1098","José Azocar","https://www.fangraphs.com/players/jose-azocar/18821/stats","SDP","https://www.fangraphs.com/teams/padres","55","-0.2","","-0.2"
"1099","Adam Ottavino","https://www.fangraphs.com/players/adam-ottavino/1247/stats","NYM","https://www.fangraphs.com/teams/mets","36.1","0.0","-0.2","-0.2"
"1100","Alec Marsh","https://www.fangraphs.com/players/alec-marsh/27451/stats","KCR","https://www.fangraphs.com/teams/royals","9.0","0.0","-0.2","-0.2"
"1101","Joely Rodríguez","https://www.fangraphs.com/players/joely-rodriguez/11487/stats","BOS","https://www.fangraphs.com/teams/red-sox","5.0","0.0","-0.2","-0.2"
"1102","Johnny Cueto","https://www.fangraphs.com/players/johnny-cueto/6893/stats","MIA","https://www.fangraphs.com/teams/marlins","1.0","0.0","-0.2","-0.2"
"1103","Adam Engel","https://www.fangraphs.com/players/adam-engel/15082/stats","SDP","https://www.fangraphs.com/teams/padres","6","-0.2","","-0.2"
"1104","Jakob Junis","https://www.fangraphs.com/players/jakob-junis/13619/stats","SFG","https://www.fangraphs.com/teams/giants","49.2","0.0","-0.2","-0.2"
"1105","Brayan Rocchio","https://www.fangraphs.com/players/brayan-rocchio/23690/stats","CLE","https://www.fangraphs.com/teams/guardians","14","-0.2","","-0.2"
"1106","Cole Ragans","https://www.fangraphs.com/players/cole-ragans/21846/stats","TEX","https://www.fangraphs.com/teams/rangers","24.1","0.0","-0.2","-0.2"
"1107","Logan Gillaspie","https://www.fangraphs.com/players/logan-gillaspie/22461/stats","BAL","https://www.fangraphs.com/teams/orioles","9.0","0.0","-0.2","-0.2"
"1108","Ehire Adrianza","https://www.fangraphs.com/players/ehire-adrianza/8418/stats","ATL","https://www.fangraphs.com/teams/braves","11","-0.2","","-0.2"
"1109","David Hamilton","https://www.fangraphs.com/players/david-hamilton/27531/stats","BOS","https://www.fangraphs.com/teams/red-sox","34","-0.2","","-0.2"
"1110","Brett Sullivan","https://www.fangraphs.com/players/brett-sullivan/18217/stats","SDP","https://www.fangraphs.com/teams/padres","49","-0.2","","-0.2"
"1111","Ji Man Choi","https://www.fangraphs.com/players/ji-man-choi/5452/stats","PIT","https://www.fangraphs.com/teams/pirates","44","-0.2","","-0.2"
"1112","Jonathan Hernández","https://www.fangraphs.com/players/jonathan-hernandez/17464/stats","TEX","https://www.fangraphs.com/teams/rangers","21.2","0.0","-0.2","-0.2"
