Steve Balboni All-Stars
Players with 10 or more seasons and less than 0.5 war per season.
2023-02-26 18:01:38.020
741 rows

Ramon Martinez             -0.8 12 (1998-2009) SFG,CHC,DET,PHI,LAD,NYM
Rusty Peters               -0.8 10 (1936-1947) PHA,CLE,SLB
Cito Gaston               -0.75 11 (1967-1978) ATL,SDP,PIT
Harry Chiti               -0.65 10 (1950-1962) CHC,KCA,DET,NYM
Denny Hocking             -0.65 13 (1993-2005) MIN,COL,KCR
Arndt Jorgens              -0.6 11 (1929-1939) NYY
Tom Hutton                -0.55 12 (1966-1981) LAD,PHI,TOR,MON
Larry Milbourne           -0.55 11 (1974-1984) HOU,SEA,NYY,MIN,CLE,PHI
Tom Satriano              -0.55 10 (1961-1970) LAA,CAL,BOS
Merv Shea                 -0.55 11 (1927-1944) DET,BOS,SLB,CHW,BRO,PHI
Harry Spilman             -0.55 11 (1979-1989) CIN,HOU,DET,SFG
Mike Matheny               -0.5 13 (1994-2006) MIL,TOR,STL,SFG
Desi Relaford              -0.5 11 (1996-2007) PHI,SDP,NYM,SEA,KCR,COL,TEX
Danny Bautista            -0.45 12 (1993-2004) DET,ATL,FLA,ARI
Ed Farmer                 -0.45 11 (1971-1983) CLE,PHI,CHW,TEX,OAK,DET,BAL,MIL
Matt Sinatro               -0.4 10 (1981-1992) ATL,OAK,DET,SEA
Chris Widger               -0.4 10 (1995-2006) SEA,MON,NYY,STL,CHW,BAL
Mike Tyson                -0.35 10 (1972-1981) STL,CHC
John Boccabella            -0.3 12 (1963-1974) CHC,MON,SFG
Junior Ortiz               -0.3 13 (1982-1994) PIT,NYM,MIN,CLE,TEX
Jake Powell                -0.3 11 (1930-1945) WSH,NYY,PHI
Charlie Culberson         -0.25 10 (2012-2022) SFG,COL,LAD,ATL,TEX
Gene Desautels            -0.25 13 (1930-1946) DET,BOS,CLE,PHA
Phil Gosselin             -0.25 10 (2013-2022) ATL,ARI,TEX,PIT,CIN,PHI,LAA
Jose Lobatón              -0.25 10 (2009-2021) SDP,TBR,WSN,NYM,CHC
Todd Van Poppel           -0.25 11 (1991-2004) OAK,TEX,PIT,CHC,CIN,DET
Ross Gload                 -0.2 10 (2000-2011) CHC,COL,CHW,KCR,FLA,PHI
Tomas Perez                -0.2 12 (1995-2008) TOR,PHI,TBD,HOU
Billy Consolo             -0.15 10 (1953-1962) BOS,WSH,MIN,LAA,KCA,PHI
Gerald Perry              -0.15 13 (1983-1995) ATL,KCR,STL
